,ticker,date,sentiment_score
0,AAIT,2022-05-05,0.09400700000000002
10,AAIT,2022-05-06,0.09400700000000002
20,AAIT,2022-05-07,0.09400700000000002
30,AAIT,2022-05-08,0.09400700000000002
40,AAIT,2022-05-09,0.09400700000000002
50,AAIT,2022-05-10,0.052448648648648656
60,AAIT,2022-05-11,0.06501621621621623
1,AAL,2022-05-05,0.1424141414141414
11,AAL,2022-05-06,0.1424141414141414
21,AAL,2022-05-07,0.1424141414141414
31,AAL,2022-05-08,0.1424141414141414
41,AAL,2022-05-09,0.1424141414141414
51,AAL,2022-05-10,0.1424141414141414
61,AAL,2022-05-11,0.1424141414141414
2,AAME,2022-05-05,0.06330400000000001
12,AAME,2022-05-06,0.06330400000000001
22,AAME,2022-05-07,0.06330400000000001
32,AAME,2022-05-08,0.06330400000000001
42,AAME,2022-05-09,0.06330400000000001
52,AAME,2022-05-10,0.06330400000000001
62,AAME,2022-05-11,0.06330400000000001
3,AAOI,2022-05-05,0.024663000000000004
13,AAOI,2022-05-06,0.024663000000000004
23,AAOI,2022-05-07,0.030346428571428573
33,AAOI,2022-05-08,0.038622727272727274
43,AAOI,2022-05-09,0.005045098039215688
53,AAOI,2022-05-10,-0.017615624999999996
63,AAOI,2022-05-11,-0.05646000000000001
4,AAON,2022-05-05,0.11979099999999997
14,AAON,2022-05-06,0.11979099999999997
24,AAON,2022-05-07,0.11979099999999997
34,AAON,2022-05-08,0.11979099999999997
44,AAON,2022-05-09,0.11979099999999997
54,AAON,2022-05-10,0.11979099999999997
64,AAON,2022-05-11,0.11731224489795918
5,AAPL,2022-05-05,0.18662800000000002
15,AAPL,2022-05-06,0.18593800000000002
25,AAPL,2022-05-07,0.18593800000000002
35,AAPL,2022-05-08,0.18593800000000002
45,AAPL,2022-05-09,0.18593800000000002
55,AAPL,2022-05-10,0.18593800000000002
65,AAPL,2022-05-11,0.18593800000000002
6,AAVL,2022-05-05,-0.04226666666666667
16,AAVL,2022-05-06,-0.148
26,AAVL,2022-05-07,-0.148
36,AAVL,2022-05-08,-0.148
46,AAVL,2022-05-09,-0.296
56,AAVL,2022-05-10,-0.296
66,AAVL,2022-05-11,-0.296
7,AAWW,2022-05-05,0.45407171717171724
17,AAWW,2022-05-06,0.45407171717171724
27,AAWW,2022-05-07,0.45407171717171724
37,AAWW,2022-05-08,0.45407171717171724
47,AAWW,2022-05-09,0.45407171717171724
57,AAWW,2022-05-10,0.45407171717171724
67,AAWW,2022-05-11,0.45407171717171724
8,AAXJ,2022-05-05,0.22636000000000003
18,AAXJ,2022-05-06,0.21553333333333338
28,AAXJ,2022-05-07,0.22374166666666673
38,AAXJ,2022-05-08,0.21126956521739132
48,AAXJ,2022-05-09,0.2208727272727273
58,AAXJ,2022-05-10,0.21038125000000002
68,AAXJ,2022-05-11,0.21361250000000004
9,ABAC,2022-05-05,0.10416538461538459
19,ABAC,2022-05-06,0.10416538461538459
29,ABAC,2022-05-07,0.10416538461538459
39,ABAC,2022-05-08,0.10416538461538459
49,ABAC,2022-05-09,0.10416538461538459
59,ABAC,2022-05-10,0.10416538461538459
69,ABAC,2022-05-11,0.10416538461538459
